"source","target","note"
"บ้าน","粉丝站/站子","仅限粉丝圈账号语境；普通语境表示家或房子"
"บ้านคู่","CP联合站/双人粉站","与个人艺人粉丝站相对"
"บ้านเดี่ยว","个人站","指主要支持单个艺人的粉丝站"
"บ้านเบส","粉丝站/站子","泰国粉丝圈账号或组织称呼"
"ประตูเปิด","开放入场","活动文案中不宜只译为门开了"
"ปอนด์","庞德/Pond","GMMTV艺人昵称；通常保留Pond或采用项目既定译名"
"ปอนด์ ณราวิชญ์ เลิศรัตน์โกสุม","Pond Naravit","GMMTV艺人全名"
"ปอนด์ภูวินทร์","PondPhuwin","GMMTV艺人组合名；作为整体识别，不要拆分翻译"
"ปั่นแท็ก","刷话题/冲趋势","X平台应援用语；指集中发布指定话题标签"
"ผังที่นั่ง","座位图","演唱会和粉丝见面会票务用语"
"ฝากด้วยนะ","请多多支持","艺人宣传作品或活动时的常用客套语"
"ฝากติดตามด้วยนะ","请关注/请多多支持","宣传作品、节目或账号时使用"
"พารากอน ฮอลล์","Paragon Hall","活动场馆专名；通常保留英文"
"พี่","哥/姐","泰语称谓；根据人物性别和关系判断"
"ฟอส","Force","GMMTV艺人昵称；保留英文拼写"
"ฟอส จิรัชพงศ์ ศรีแสง","Force Jiratchapong","GMMTV艺人全名"
"ฟอส-บุ๊ค","Force-Book","GMMTV官方文案常见组合写法"
"ฟอสบุ๊ค","ForceBook","GMMTV艺人组合名；作为整体识别"
"ภูวินทร์","普文/Phuwin","GMMTV艺人昵称；通常保留Phuwin或采用项目既定译名"
"ภูวินทร์ ตั้งศักดิ์ยืน","Phuwin Tangsakyuen","GMMTV艺人全名"
"มัมหมี","妈粉","对艺人具有养崽式疼爱态度的粉丝"
"มาร์ค จิรันธนิน","Mark Jiruntanin","GMMTV艺人常用名；与其他名为Mark的艺人区分"
"มาร์ค จิรันธนิน ตรัยรัตนยนต์","Mark Jiruntanin Trairattanayon","GMMTV艺人全名"
"มาเจอกันนะ","到时见/来见面吧","活动邀约用语"
"มิกซ์","Mix","艺人昵称；人名语境不要译为混合"
"มิกซ์ สหภาพ วงศ์ราษฎร์","Mix Sahaphap","GMMTV艺人全名"
"ม๊า","妈粉/妈妈","亲昵或口语写法；不一定表示真实亲属"
"ยอดเอนเกจ","互动量","通常包括点赞、转发、引用和回复等数据"
"ยูเนี่ยน มอลล์","Union Mall","曼谷购物中心；Union Hall所在地"
"ยูเนี่ยน ฮอลล์","Union Hall","演唱会、粉丝见面会常用场馆"
"รวมพล","集合/粉丝集合","活动现场集合或粉丝应援集合"
"รอบการแสดง","演出场次","例如รอบบ่าย表示下午场"
"ราชมังคลากีฬาสถาน","拉加曼加拉国家体育场","曼谷大型体育场及演唱会场馆"
"รี","转发","X平台动作；รีโพสต์或รีทวิต的简称"
"รีทวิต","转发","Twitter时期形成的常用说法"
"ลงเรือ","上船/入CP坑","用于开始支持某一CP"
"ลูก","崽/孩子","粉丝对艺人的宠爱称呼；也可表示真实孩子"
"ลูกชาย","儿子/男崽","可能是粉丝对男艺人的宠爱称呼"
"ลูกสาว","女儿/女崽","可能是粉丝对女艺人的宠爱称呼"
"วินนี่","Winny","GMMTV艺人昵称；人名语境保留英文"
"วินนี่ ธนวินท์ ผลเจริญรัตน์","Winny Thanawin","GMMTV艺人全名"
"วินนี่-สตางค์","Winny-Satang","GMMTV艺人组合名；带连字符写法"
"วินนี่สตางค์","WinnySatang","GMMTV艺人组合名；作为整体识别"
"วิลเลี่ยม","William","GMMTV及LYKN成员昵称；人名语境保留英文"
"วิลเลี่ยม จักรภัทร","William Jakrapatr","GMMTV及LYKN成员常用名"
"วิลเลี่ยม จักรภัทร แก้วพันธุ์พงษ์","William Jakrapatr Kaewpanpong","GMMTV及LYKN成员全名"
"วิลเลี่ยม-เอส","William-Est","GMMTV艺人组合名；带连字符写法"
"วิลเลี่ยมเอส","WilliamEst","GMMTV艺人组合名；在#PerthSanta关联X内容中高频共同出现"
"สกาย","Sky","GMMTV艺人昵称；人名语境不要译为天空"
"สกาย วงศ์รวี","Sky Wongravee","GMMTV艺人常用名"
"สกาย วงศ์รวี นทีธร","Sky Wongravee Nateetorn","GMMTV艺人全名"
"สกาย-นานิ","Sky-Nani","GMMTV艺人组合名；带连字符写法"
"สกายนานิ","SkyNani","GMMTV艺人组合名；作为整体识别"
"สตางค์","Satang","GMMTV艺人昵称；人名语境不要译为零钱"
"สตางค์ กิตติภพ เสรีวิชยสวัสดิ์","Satang Kittiphop","GMMTV艺人全名"
"สยามพารากอน","暹罗百丽宫/Siam Paragon","曼谷商场及活动地点"
"สิทธิพิเศษ","福利/权益","常指不同票档包含的活动福利"
"หวีด","嗑疯了/疯狂安利","泰国粉丝圈高频口语；根据语气调整"
"หัวหมาก","华马克/Huamark","曼谷地区及场馆名称组成部分"
"อินดอร์ สเตเดียม หัวหมาก","华马克室内体育馆","英文常写作Indoor Stadium Huamark"
"อิมแพค","Impact","演唱会或场馆专名时保留英文"
"อิมแพ็ค","IMPACT","场馆或会展中心专名时保留官方大写形式"
"อิมแพ็ค อารีน่า","IMPACT Arena","泰国常用大型演唱会场馆"
"อิมแพ็ค อารีน่า เมืองทองธานี","IMPACT Arena（蒙通他尼）","位于暖武里府Pak Kret；不宜笼统译成曼谷市中心"
"เข้าด้อม","入坑/入圈","指加入某艺人或作品的粉丝圈"
"เคมีดี","很搭/很有化学反应","常评价演员合作或CP互动"
"เจม","Gemini","เจมีไนน์的简称；根据语境识别"
"เจมีไนน์","Gemini","GMMTV艺人昵称；人名语境保留英文"
"เจมีไนน์ นรวิชญ์ ฐิติเจริญรักษ์","Gemini Norawit","GMMTV艺人全名"
"เจมีไนน์-โฟร์ท","Gemini-Fourth","GMMTV官方文案常见组合写法"
"เจมีไนน์โฟร์ท","GeminiFourth","GMMTV艺人组合名；作为整体识别"
"เจมโฟ้ด","GeminiFourth","粉丝圈压缩组合名；不要逐字翻译"
"เจเจ มอลล์","JJ Mall","曼谷Chatuchak一带购物中心"
"เจเจ ฮอลล์","JJ Hall","曼谷Chatuchak一带活动场馆"
"เจ้าตัว","本人/当事人","常用于指艺人本人"
"เซ็นทรัลเวิลด์","CentralWorld","曼谷商场及活动地点；可按项目规范译为尚泰世界购物中心"
"เทรนด์","趋势/热搜","通常指X平台趋势榜"
"เน็ตเจมส์","NetJames","历史组合语境；使用前注意作品时间和艺人现状"
"เบเนฟิต","票档福利","英文benefit的泰语音译；常见于票务海报"
"เปรม","Prem","GMMTV艺人昵称；人名语境保留英文"
"เปรม วรุศ ชวลิตรุจิวงษ์","Prem Warut","GMMTV艺人全名"
"เปิดขายบัตร","开票/开始售票","票务正式表达"
"เพิร์ธ","Perth","GMMTV艺人昵称；人名语境保留英文"
"เพิร์ธ ธนพนธ์ สุขุมพันธนาสาร","Perth Tanapon Sukumpantanasan","GMMTV艺人全名；由#PerthSanta及相关X公开内容交叉确认"
"เพิร์ธ-แซนต้า","Perth-Santa","GMMTV艺人组合名；带连字符写法"
"เพิร์ธแซนต้า","PerthSanta","GMMTV艺人组合名；作为整体识别"
"เฟิร์ส","First","GMMTV艺人昵称；人名语境不要译为第一"
"เฟิร์ส คณพันธ์ ปุ้ยตระกูล","First Kanaphan","GMMTV艺人全名"
"เฟิร์สข้าวตัง","FirstKhaotung","GMMTV艺人组合名；作为整体识别"
"เมน","本命/主推","指自己最喜欢或主要支持的艺人"
"เมืองทองธานี","蒙通他尼/Muang Thong Thani","暖武里府大型会展及场馆区域"
"เริ่มการแสดง","演出开始","活动时间表用语"
"เรือ","CP/船","粉丝配对语境；普通语境仍可表示船"
"เหนือเมน","比本命还上头的人","粉丝圈戏称；不宜按字面硬译"
"เอส","Est","GMMTV艺人昵称；人名语境保留英文"
"เอส ศุภ","Est Supha","GMMTV艺人常用名"
"เอส ศุภ สง่าวรวงศ์","Est Supha Sangaworawong","GMMTV艺人全名"
"เอิร์ท","Earth","艺人昵称；人名语境不要译为地球"
"เอิร์ท พิรพัฒน์ วัฒนเศรษสิริ","Earth Pirapat","GMMTV艺人全名"
"เอิร์ทมิกซ์","EarthMix","GMMTV艺人组合名；作为整体识别"
"เอ็นดู","怜爱/太招人疼了","含疼爱、宠爱意味，不宜只机械译为可爱"
"แจกวาร์ป","发账号链接/发出处","指分享社交账号、原帖或人物信息"
"แจสเปอร์","JASP.ER","组合名的泰语读音写法；根据艺人语境识别"
"แซนต้า","Santa","GMMTV艺人昵称；人名语境不要译为圣诞老人"
"แซนต้า พงศภัค อุดมโภชน์","Santa Pongsapak Udompoch","GMMTV艺人全名；由#PerthSanta及相关X公开内容交叉确认"
"แฟนคลับ","粉丝","泛指艺人或作品的粉丝"
"แฟนคอน","粉丝演唱会","英文fan concert的泰语简称"
"แฟนด้อม","粉丝圈","英文fandom的泰语音译"
"แฟนมีต","粉丝见面会","แฟนมีตติ้ง的简称"
"แฟนมีตติ้ง","粉丝见面会","英文fan meeting的泰语音译"
"แม่","妈粉/妈妈","粉丝圈可能是角色称呼；不一定表示真实亲属"
"แล้วเจอกัน","到时见","活动或日常口语"
"แอคหลัก","大号/主账号","与แอคหลุม相对"
"แอคหลุม","小号/隐秘号","社交媒体备用或较私密账号；不要直译为洞穴账号"
"แอด","管理员/站管","แอดมิน的简称；也可能是添加或广告的英语借词"
"แอดมิน","管理员/站管","粉丝站或社交账号管理员"
"โควท","引用转发","X平台动作；来自英文quote"
"โซลด์เอาต์","售罄","英文sold out的泰语音译"
"โดนตก","被圈粉/入坑","不要按字面翻译为掉下去"
"โฟร์ท","Fourth","GMMTV艺人昵称；人名语境保留英文"
"โฟร์ท ณัฐวรรธน์ จิโรชน์ธิกุล","Fourth Nattawat","GMMTV艺人全名"
"โฟ้ด","Fourth","โฟร์ท的粉丝圈口语写法"
"โมเมนต์","糖点/互动瞬间","CP语境常译为糖或互动糖点"
"โมเม้น","糖点/互动瞬间","โมเมนต์的非正式写法"
"ไลฟ์สตรีมมิ่ง","网络直播","英文live streaming的泰语音译"
"ไลแคน","LYKN","组合名的泰语读音写法；根据艺人语境识别"
"ไฮทัช","击掌会","英文hi-touch的泰语音译"
"ไฮบาย","挥手送别/Hi-Bye","粉丝活动福利环节"
"ปอนภูวิน","PondPhuwin","ปอนด์ภูวินทร์的社交媒体省略写法；作为组合名整体识别"
"เพิ้ด","小佩","เพิร์ธ的粉丝口语、拟音式可爱写法；明确为Perth人物语境时译作“小佩”"
"ต้า","小塔","แซนต้า的亲昵称呼；仅在PerthSanta或明确为Santa的人物语境中译作“小塔”"
"เกสคอน","演唱会嘉宾","guest concert相关口语缩写；表示去某场演唱会担任嘉宾"
